date,format,theme,title,caption,hashtags,status,risk,id
2026-06-30,carousel,家中の水を見直す,家中の水を見直す（カルーセル）,【家中の水を見直す】  キッチンだけでなく、住まい全体の水を浄水するという視点を提案する。  ・浄水器はキッチンにしか付けていない、という家庭が多い。 ・水道水には残留塩素が含まれており、家中のあらゆる場所で使われている。  キッチン、洗面、浴室、シャワー、洗濯まで。 毎日使う水だからこそ、住まい全体で整えるという考え方です。  オール浄水・オールナノバブル水のライフセーブ21プラス。 浄水＋ナノバブル水という選択を、暮らしに。  気になる方はお気軽にDMください,#ライフセーブ21プラス #ナチュラルウィル #オール浄水 #ナノバブル水 #浄水器 #家中の水 #残留塩素 #水まわり #暮らしを整える #シャワー #お風呂時間 #戸建て #マンション暮らし #新築 #リフォーム,scheduled,ok,whole-house-water-carousel-b0ebe6ed
2026-07-02,feed,お風呂の水まで浄水,お風呂の水まで浄水,【お風呂の水まで浄水】  毎日のお風呂・湯船の水まで浄水するという発想を伝える。  ・お風呂の水はそのまま使うのが当たり前だと思っている。 ・入浴は全身が長時間お湯に触れるため、水まわりの中でも使用量が多い。  キッチン、洗面、浴室、シャワー、洗濯まで。 毎日使う水だからこそ、住まい全体で整えるという考え方です。  オール浄水・オールナノバブル水のライフセーブ21プラス。 浄水＋ナノバブル水という選択を、暮らしに。  詳しくはDMでご相談ください,#ライフセーブ21プラス #ナチュラルウィル #オール浄水 #ナノバブル水 #浄水器 #家中の水 #残留塩素 #水まわり #暮らしを整える #シャワー #お風呂時間 #戸建て #マンション暮らし #新築 #リフォーム,scheduled,ok,bath-water-feed-2c75faa3
2026-07-04,reel,シャワーの塩素が気になる方へ,シャワーの塩素が気になる方へ（リール台本）,【シャワーの塩素が気になる方へ】  シャワーの残留塩素が気になる人に向けて選択肢を提示する。  ・シャワーの水のにおいやピリつきが気になることがある。 ・シャワーは毎日使い、頭から浴びるため意識されやすい水まわり。  キッチン、洗面、浴室、シャワー、洗濯まで。 毎日使う水だからこそ、住まい全体で整えるという考え方です。  オール浄水・オールナノバブル水のライフセーブ21プラス。 浄水＋ナノバブル水という選択を、暮らしに。  詳しくはDMでご相談ください,#ライフセーブ21プラス #ナチュラルウィル #オール浄水 #ナノバブル水 #浄水器 #家中の水 #残留塩素 #水まわり #暮らしを整える #シャワー #お風呂時間 #戸建て #マンション暮らし #新築 #リフォーム,scheduled,ok,shower-chlorine-reel-8abe0f7b
2026-07-07,story,キッチンだけでなく住まい全体へ,キッチンだけでなく住まい全体へ（ストーリーズ）,【キッチンだけでなく住まい全体へ】  浄水の対象をキッチンから住まい全体へ広げる提案。  ・浄水はキッチンの飲み水だけで十分だと考えがち。 ・洗面・浴室・洗濯など、水を使う場所は家中に広がっている。  キッチン、洗面、浴室、シャワー、洗濯まで。 毎日使う水だからこそ、住まい全体で整えるという考え方です。  オール浄水・オールナノバブル水のライフセーブ21プラス。 浄水＋ナノバブル水という選択を、暮らしに。  詳しくはDMでご相談ください,#ライフセーブ21プラス #ナチュラルウィル #オール浄水 #ナノバブル水 #浄水器 #家中の水 #残留塩素 #水まわり #暮らしを整える #シャワー #お風呂時間 #戸建て #マンション暮らし #新築 #リフォーム,scheduled,ok,beyond-kitchen-story-3fe8660c
2026-07-09,carousel,ナノバブル水という選択,ナノバブル水という選択（カルーセル）,【ナノバブル水という選択】  オール浄水に加え、オールナノバブル水という選択肢を紹介する。  ・ナノバブル水という言葉を聞いたことがない人も多い。 ・ライフセーブ21プラスは浄水とナノバブル水を住まい全体で扱える。  キッチン、洗面、浴室、シャワー、洗濯まで。 毎日使う水だからこそ、住まい全体で整えるという考え方です。  オール浄水・オールナノバブル水のライフセーブ21プラス。 浄水＋ナノバブル水という選択を、暮らしに。  詳しくはDMでご相談ください,#ライフセーブ21プラス #ナチュラルウィル #オール浄水 #ナノバブル水 #浄水器 #家中の水 #残留塩素 #水まわり #暮らしを整える #シャワー #お風呂時間 #戸建て #マンション暮らし #新築 #リフォーム,scheduled,ok,nanobubble-carousel-7500ebe5
2026-07-11,feed,戸建て向け提案,戸建て向け提案,【戸建て向け提案】  戸建て住宅での導入イメージと相談の流れを伝える。  ・戸建てだと家中の水をどう整えればよいか分かりにくい。 ・戸建ては元栓まわりにオール浄水システムを設置しやすい。  キッチン、洗面、浴室、シャワー、洗濯まで。 毎日使う水だからこそ、住まい全体で整えるという考え方です。  オール浄水・オールナノバブル水のライフセーブ21プラス。 浄水＋ナノバブル水という選択を、暮らしに。  詳しくはDMでご相談ください,#ライフセーブ21プラス #ナチュラルウィル #オール浄水 #ナノバブル水 #浄水器 #家中の水 #残留塩素 #水まわり #暮らしを整える #シャワー #お風呂時間 #戸建て #マンション暮らし #新築 #リフォーム,scheduled,ok,detached-house-feed-4380dc18
2026-07-14,reel,マンション向け提案,マンション向け提案（リール台本）,【マンション向け提案】  マンション・集合住宅での導入の考え方を伝える。  ・マンションでも家中の水を整えられるのか不安がある。 ・住まいの条件に合わせた導入方法を相談で確認できる。  キッチン、洗面、浴室、シャワー、洗濯まで。 毎日使う水だからこそ、住まい全体で整えるという考え方です。  オール浄水・オールナノバブル水のライフセーブ21プラス。 浄水＋ナノバブル水という選択を、暮らしに。  詳しくはDMでご相談ください,#ライフセーブ21プラス #ナチュラルウィル #オール浄水 #ナノバブル水 #浄水器 #家中の水 #残留塩素 #水まわり #暮らしを整える #シャワー #お風呂時間 #戸建て #マンション暮らし #新築 #リフォーム,scheduled,ok,apartment-reel-16f182e3
2026-07-16,story,よくある質問,よくある質問（ストーリーズ）,【よくある質問】  導入前によく寄せられる質問にやさしく答える。  ・費用・工事・メンテナンスなど分からないことが多い。 ・事前に疑問を解消することで安心して検討できる。  キッチン、洗面、浴室、シャワー、洗濯まで。 毎日使う水だからこそ、住まい全体で整えるという考え方です。  オール浄水・オールナノバブル水のライフセーブ21プラス。 浄水＋ナノバブル水という選択を、暮らしに。  資料をご希望の方はDMください,#ライフセーブ21プラス #ナチュラルウィル #オール浄水 #ナノバブル水 #浄水器 #家中の水 #残留塩素 #水まわり #暮らしを整える #シャワー #お風呂時間 #戸建て #マンション暮らし #新築 #リフォーム,scheduled,ok,faq-story-bc7db4c3
2026-07-18,carousel,導入前の不安解消,導入前の不安解消（カルーセル）,【導入前の不安解消】  工事や使い勝手などの不安を一つずつ和らげる。  ・工事が大変そう、難しそうという心理的なハードルがある。 ・実際の流れを知ることで不安が小さくなる。  キッチン、洗面、浴室、シャワー、洗濯まで。 毎日使う水だからこそ、住まい全体で整えるという考え方です。  オール浄水・オールナノバブル水のライフセーブ21プラス。 浄水＋ナノバブル水という選択を、暮らしに。  気になる方はお気軽にDMください,#ライフセーブ21プラス #ナチュラルウィル #オール浄水 #ナノバブル水 #浄水器 #家中の水 #残留塩素 #水まわり #暮らしを整える #シャワー #お風呂時間 #戸建て #マンション暮らし #新築 #リフォーム,scheduled,ok,ease-anxiety-carousel-86a15478
2026-07-21,feed,無料相談誘導,無料相談誘導,【無料相談誘導】  まずは気軽に無料相談・資料請求へ誘導する。  ・いきなり契約は不安。まず話を聞いてみたい。 ・DMから気軽に相談や資料請求ができる。  キッチン、洗面、浴室、シャワー、洗濯まで。 毎日使う水だからこそ、住まい全体で整えるという考え方です。  オール浄水・オールナノバブル水のライフセーブ21プラス。 浄水＋ナノバブル水という選択を、暮らしに。  詳しくはDMでご相談ください,#ライフセーブ21プラス #ナチュラルウィル #オール浄水 #ナノバブル水 #浄水器 #家中の水 #残留塩素 #水まわり #暮らしを整える #シャワー #お風呂時間 #戸建て #マンション暮らし #新築 #リフォーム,scheduled,ok,free-consult-feed-2c43b857
