事実ID,対象人物,日付,場所,出来事,台本で使用する記述,分類,根拠URL,情報源名,確認状態,権利状態,注意事項
"F001","天皇皇后両陛下・愛子さま","2026-04-06〜04-07","福島県","福島県へのご訪問","令和8年4月6日から7日にかけて、天皇皇后両陛下と愛子さまが福島県をご訪問になりました。","A．確認済み事実","https://www.nikkei.com/article/DGXZQOUD021CZ0S6A400C2000000/","日本経済新聞ほか複数社","一次資料未確認","報道各社が一致","宮内庁公式での日付確認が未了"
"F002","天皇皇后両陛下・愛子さま","2026-04-06","福島県","ご一家での被災地ご訪問","東日本大震災と原子力災害から15年の節目にあたるご訪問でした。","A．確認済み事実","https://www.minyu-net.com/news/detail/2026040507170748170","福島民友新聞ほか","一次資料未確認","","「15年」は各社一致"
"F003","天皇皇后両陛下・愛子さま","2026-04-06","JR福島駅・福島県庁","到着と県庁ご訪問","4月6日の午前、ご一家はJR福島駅に到着され、福島県庁をご訪問になりました。","A．確認済み事実","https://www.fukushima-tv.co.jp/localnews/2026/04/2026040600000019.html","福島テレビ・福島民友新聞","一次資料未確認","","到着時刻の詳細は未確認"
"F004","天皇皇后両陛下・愛子さま","2026-04-06","双葉町 東日本大震災・原子力災害伝承館","伝承館のご視察と供花","4月6日、双葉町の東日本大震災・原子力災害伝承館をご視察になり、供花されました。","A．確認済み事実","https://kahoku.news/articles/knp2026040601001154.html","河北新報・日本経済新聞","一次資料未確認","","供花の対象・形式の詳細は未確認"
"F005","天皇皇后両陛下・愛子さま","2026-04-06","双葉町 東日本大震災・原子力災害伝承館","被災された方々とのご懇談","伝承館では、被災された方々とご懇談になりました。","A．確認済み事実","https://www.nikkei.com/article/DGXZQOUD021CZ0S6A400C2000000/","日本経済新聞ほか","一次資料未確認","","懇談相手の人数・氏名は未確認"
"F006","天皇皇后両陛下・愛子さま","2026-04-07","富岡町 とみおかアーカイブ・ミュージアム","ミュージアムのご視察","4月7日、富岡町のとみおかアーカイブ・ミュージアムをご視察になりました。","A．確認済み事実","https://www.jiji.com/jc/article?k=2026040700109&g=soc","時事通信ほか","一次資料未確認","","滞在時間などの詳細は未確認"
"F007","天皇皇后両陛下・愛子さま","2026-04-07","大熊町 linkる大熊","linkる大熊のご訪問","4月7日、大熊町のlinkる大熊をご訪問になりました。","A．確認済み事実","https://www.jiji.com/jc/article?k=2026040700109&g=soc","時事通信ほか","一次資料未確認","","施設での具体的なご活動は未確認"
"F008","天皇皇后両陛下・愛子さま","2026-04-07","大熊町 義務教育学校 学び舎ゆめの森","授業のご見学と児童生徒との交流","4月7日、大熊町の義務教育学校「学び舎ゆめの森」で、小学生と中学生の授業をご見学になりました。","A．確認済み事実","https://www.jiji.com/jc/article?k=2026040700109&g=soc","時事通信","一次資料未確認","","読み方注記が必要（まなびや ゆめのもり）"
"F009","天皇皇后両陛下・愛子さま","2026-04-07","大熊町 学び舎ゆめの森","被災された方々とのご懇談","学び舎ゆめの森では、被災された方々ともご懇談になりました。","A．確認済み事実","https://www.jiji.com/jc/article?k=2026040700109&g=soc","時事通信","一次資料未確認","","懇談された方の人数は報道で3人とされるが未確認"
"F010","天皇皇后両陛下・愛子さま","2026-04-07","浪江町 道の駅なみえ","道の駅なみえのご訪問","4月7日、浪江町の道の駅なみえをご訪問になり、大堀相馬焼や地酒についてご説明を受けられました。","A．確認済み事実","https://www.jiji.com/jc/article?k=2026040700109&g=soc","時事通信ほか","一次資料未確認","","大堀相馬焼＝おおぼりそうまやき。読み方注記が必要"
"F011","愛子さま","2026-04-06〜04-07","福島県","被災された方々へのご質問","愛子さまは、被災された方々に対して熱心にお尋ねになっていたと報じられています。","B．根拠付き解説","https://www.fukushima-tv.co.jp/localnews/2026/04/2026041200000001.html","福島テレビほか","一次資料未確認","","具体的なご発言の文言は確認できていない。台本で引用しない"
"F012","天皇皇后両陛下・愛子さま","2026-04-06","福島県","ご一家3人での被災地ご訪問","報道各社は、ご一家3人がそろって被災地をご訪問になるのは初めてであると伝えています。","B．根拠付き解説","https://www.minyu-net.com/news/detail/2026040507170748170","福島民友新聞ほか","要追加確認","","「ご一家3人で初」「即位後初の被災地直接訪問」など社により表現が異なる。断定しないこと"
"F013","愛子さま","2026-04-07","大熊町","大熊町へのご訪問","大熊町へのご訪問は震災後初であると報じられています。","B．根拠付き解説","https://www.youtube.com/watch?v=6LSuETFSXRk","報道番組のタイトル","要追加確認","","動画タイトルのみを根拠としており、裏づけが不十分。台本で断定しない"
